id,sex,classId,gradeId
student3,FEMALE,4,4
student4,MALE,5,5
student5,FEMALE,6,6
student6,MALE,1,1
student9,FEMALE,4,4
student10,MALE,5,5
student11,FEMALE,6,6
student12,MALE,1,1
student13,FEMALE,2,2
student14,MALE,3,3
student15,FEMALE,4,4
student16,MALE,5,5
student17,FEMALE,6,6
student18,MALE,1,1
student19,FEMALE,2,2
student20,MALE,3,3
student21,FEMALE,4,4
student22,MALE,5,5
student23,FEMALE,6,6
student24,MALE,1,1
student25,FEMALE,2,2
student26,MALE,3,3
student27,FEMALE,4,4
student28,MALE,5,5
student29,FEMALE,6,6
student30,MALE,1,1
student31,FEMALE,2,2
student32,MALE,3,3
student33,FEMALE,4,4
student34,MALE,5,5
student35,FEMALE,6,6
student36,MALE,1,1
student37,FEMALE,2,2
student38,MALE,3,3
student39,FEMALE,4,4
student40,MALE,5,5
student41,FEMALE,6,6
student42,MALE,1,1
student43,FEMALE,2,2
student44,MALE,3,3
student45,FEMALE,4,4
student46,MALE,5,5
student47,FEMALE,6,6
student7,FEMALE,2,2
student1,FEMALE,2,2
student48,MALE,1,1
student49,FEMALE,2,2
student50,MALE,3,3
user_2xEQHlSAShbTsXagKlc5OnHx04G,MALE,3,3
student2,MALE,3,3
