studentId,classId,className,gradeId,gradeLevel,average_score,attendance_rate,success
student3,4,4A,4,4},100.0,1.0,1
student4,5,5A,5,5},90.0,1.0,1
student5,6,6A,6,6},85.0,1.0,1
student6,1,1A,1,1},50.0,1.0,1
student9,4,4A,4,4},100.0,1.0,1
student10,5,5A,5,5},48.0,1.0,0
,6,6A,6,6},,,0
,1,1A,1,1},,,0
,2,2A,2,2},,,0
,3,3A,3,3},,,0
,4,4A,4,4},,,0
,5,5A,5,5},,,0
,6,6A,6,6},,,0
,1,1A,1,1},,,0
,2,2A,2,2},,,0
,3,3A,3,3},,,0
,4,4A,4,4},,,0
,5,5A,5,5},,,0
,6,6A,6,6},,,0
,1,1A,1,1},,,0
,2,2A,2,2},,,0
,3,3A,3,3},,,0
,4,4A,4,4},,,0
,5,5A,5,5},,,0
,6,6A,6,6},,,0
,1,1A,1,1},,,0
,2,2A,2,2},,,0
,3,3A,3,3},,,0
,4,4A,4,4},,,0
,5,5A,5,5},,,0
,6,6A,6,6},,,0
,1,1A,1,1},,,0
,2,2A,2,2},,,0
,3,3A,3,3},,,0
,4,4A,4,4},,,0
,5,5A,5,5},,,0
,6,6A,6,6},,,0
,1,1A,1,1},,,0
,2,2A,2,2},,,0
,3,3A,3,3},,,0
,4,4A,4,4},,,0
,5,5A,5,5},,,0
,6,6A,6,6},,,0
student7,2,2A,2,2},99.0,1.0,1
student1,2,2A,2,2},90.0,1.0,1
,1,1A,1,1},,,0
,2,2A,2,2},,,0
,3,3A,3,3},,,0
user_2xEQHlSAShbTsXagKlc5OnHx04G,3,3A,3,3},80.0,1.0,1
student2,3,3A,3,3},79.0,1.0,1
